"Btg"||"B"|||25|28|31|38|48|64||20||0|1|2|0|7|16|84|90|92|75|84|86|67|83|86|63|78|86|3.1|9.6|20|0|0.5|10|0.1|0.8|3.4|0.1|1.3|1.7|0.6|3|3.7|1.7|4|5.4|50|61|74.8|||||||21.1|29.4|40|0|0|0|0.5|0.75|1||||1.35|1.4|1.46||||1.48|1.53|1.61|2.67|1.41|2.82|4.23|0.14|0.17|0.2||||20.9|27.1|32.1|9.4|15.1|21.7|32|39|43|1.6|2.6|4.1|32|40|50|14|20|28|6|14|25|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|11.2|15.6|21.3||||7.3|12.5|19.7|5.4|5.7|6||||||||||4.6|6.5|8.7|||||||||||||||||||||"25727835"|"76732200"
"Cx"||"C"|||73|76|79|102|112|152||36||0|1|2|1|11|22|74|84|85|60|75|77|54|75|77|51|72|77|5|7|20|0|0|0|0|0|0|0.1|0.2|0.3|1.8|2|2.2|4.5|4.8|5|55|68|75|||||||15|25|30|0|0|0|0.02|0.25|0.5||||1.57|1.58|1.58||||1.63|1.64|1.67|2.67|1.41|7.7|14|0.08|0.1|0.12||||14.8|23.4|27.6|5.6|12.4|16.6|23|30|33|0.4|0.9|1.5|25|34|39|9|17|21|1|10|15|".28"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||4.6|9|14.9|4.6|9|12.3|5.2|5.4|6||||||||||0.8|5.7|7.9|||||||||||||||||||||"25727835"|"76732202"
"Ap"||"A"|||0|0|0|25|28|31||28||0|0|1|0|7|7|85|86|100|84|85|100|69|83|100|63|77|98|5|11.7|19.5|0.1|0.7|1.3|0.5|1.2|1.9|0.9|1.5|3|0.9|3.6|6.7|1.4|4.7|7|50.5|63.3|76.2|||||||9.2|25|32|0|0|0|1|2|3||||1.41|1.44|1.48||||1.52|1.55|1.62|2.64|4|7.76|14.11|0.19|0.2|0.22||||19.3|27.2|34.2|5.8|14.9|22.2|36|38|44|0.6|2.1|3.5|22|39|47|5|17|22|0|12|24|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|5|13.5|17.3||||3.1|11.8|16.9|5.6|6.2|6.8||||||||||1.3|5.5|8.6|||||||||||||||||||||"25727835"|"76732199"
"Bt3"||"B"||3|42|48|52|51|56|102|5|8|19|0|0|0|2|9|14|65|79|95|63|78|94|56|72|94|44|57|77|17.6|32.3|43.2|0.1|2.2|3.5|0.1|3.9|6.5|0.3|7.7|15.5|1.9|9.5|20|4|9|16.5|27.9|46.7|64||22.1|||24.6||18|21|30|0|0|0|0.06|0.14|0.21||||1.54|1.58|1.61||||1.65|1.69|1.81|2.62|4|9|14|0.1|0.14|0.19||||18|23|30.9|7.6|10.8|18.3|24|30|37|1.2|1.9|3.8|28|31|40|12|14|21|1|5|15|".28"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|13.5|16.1|22.5||||4.7|13.6|22|4.4|5.8|6.7|5.2|5.4|5.7|||||||2.7|6|11.4|||||||||||||||||||||"25727836"|"76732208"
"Cr"||"C"|||51|56|102|51|71|102|0|15|51|||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|||||||||||||||||1|3|5||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"25727836"|"76732209"
"Bt1"||"B"||1|1|25|30|30|38|42|10|13|30|0|0|0|2|4|7|84|91|94|83|90|94|75|86|94|62|72|85|16.5|24.9|41.4|0.1|0.8|3.5|0.1|2.5|6.5|0.3|5.2|15.5|1.9|8.1|20|4|8.3|16.5|31.7|51.9|65.5||22.1|||29.8||18|23.2|33.5|0|0|0|0.06|0.36|1.12||||1.36|1.46|1.56||||1.49|1.59|1.7|2.61|4|9|14|0.12|0.17|0.22||||22.6|26.7|32|9.1|12.9|20|33|39|43|1.5|2.6|4.7|28|34|45|12|16|24|4|9|21|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|13.5|18.2|26.5||||4.9|16.2|25.1|4.4|5.8|6.7|5.2|5.5|5.7|||||||2.7|6.5|12.8|||||||||||||||||||||"25727836"|"76732206"
"Bt2"||"B"||2|30|38|42|42|48|52|8|10|22|0|0|0|2|5|6|85|89|94|84|88|94|75|85|94|63|72|86|16.5|22.5|43.2|0.1|0.7|3.5|0.1|2.3|6.5|0.3|4.9|15.5|1.9|7.2|20|4|7.4|16.5|30.9|52.4|65||22.1|||30.3||18.5|25.1|34.8|0|0|0|0.06|0.36|1.12||||1.36|1.51|1.66||||1.51|1.66|1.77|2.61|4|9|14|0.12|0.17|0.22||||23.3|27.2|32.7|9.8|14.1|21.4|30|36|43|1.6|2.9|4.9|29|36|47|12|17|25|5|10|22|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|13.9|19.6|27.5||||5|17.4|26.3|4.4|5.8|6.7|5.2|5.4|5.7|||||||2.8|6.8|13|||||||||||||||||||||"25727836"|"76732207"
"R"||"R"|||51|71|102|76|96|203|25|25|152||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"25727836"|"76732204"
"Ap"||"A"|||0|0|0|1|25|30|13|25|30|0|0|0|1|3|8|83|94|98|83|94|97|75|90|97|63|76|87|13.5|23.3|43|0.1|0.6|3.5|0.1|2.2|6.5|0.3|5|15.5|1.9|7.6|20|4|7.9|16.5|38.7|59.9|74||28|||31.9||12.1|16.8|25|0|0|0|1.51|4.46|11.74||||1.24|1.33|1.42||||1.31|1.4|1.48|2.56|4|9|14|0.18|0.2|0.22||||20.9|28|36|7.2|13.8|26.8|37|44|48|1.1|1.7|3.4|26|37|60|7|10|16|2|7|19|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10.7|15|22.3||||4.3|13.4|23.8|5.5|6.4|7.7|5|5.3|5.5|||||||0.2|6.8|15.6|||||||||||||||||||||"25727836"|"76732205"
"Ap"||"A"|||0|0|0|23|25|27|23|25|27|0|1|1|0|6|11|87|92|96|79|88|93|68|82|93|54|67|78|20|29.1|35|2|2.4|3|3|3.4|4|4|4.8|5|9|9.1|10|9|9.4|10|45|53.4|65|26|28|30|23|25.4|27|10|17.5|25|0|0|0|2|2.5|3||||1.39|1.42|1.44||||1.45|1.48|1.53|2.63|4.23|9.17|14.11|0.16|0.19|0.22||||19.6|25.4|30.5|6.8|11.8|17.3|35|39|43|0.6|1.3|2.3|25|33|41|6|12|17|0|6|13|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5.5|9.5|13.6||||2.9|8.3|13.6|5.3|6.1|6.9||||||||||1.8|5.2|8.8|||||||||||||||||||"Low"|"Moist"|"25727837"|"76732211"
"R"||"R"|||102|122|152|127|147|203|25|25|101|||||||||||||||||||||||0|||||||||||||||||||||||||||||||||||||||||||||0.42|2.33|4.23||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||"Very high"|"Moist"|"25727837"|"76732210"
"Bx"||"B"|||46|51|56|94|99|104|46|48|50|0|1|2|0|10|20|76|86|89|64|79|84|58|77|84|55|73|84|5|9.4|30|0|0.4|2|1|2|4|2|3|5|1|2|3|1|2|3|52|69.3|70|25|27.6|30|40|41.7|44|15|21.3|32|0|0|0|0|0.25|0.5||||1.51|1.52|1.54||||1.57|1.58|1.62|2.67|0.42|0.92|1.41|0.06|0.08|0.1||||15.8|23|29.7|5.8|10.7|18.1|26|33|37|0.7|1.1|1.8|25|31|41|9|14|22|2|8|18|".32"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|7.6|11.2|16.9||||4.4|8.6|16.5|5.1|5.8|6.5||||||||||2.1|5|8.4|||||||||||||||||||||"25727837"|"76732213"
"BCg"||"BC"|||94|99|104|102|122|152|21|23|25|0|2|4|0|15|28|71|82|85|55|72|77|44|69|75|38|60|66|10|20.9|40|1|1.5|2|2|2.2|3|1|2|3|6|6.5|7|8|8.7|9|35|54.6|72|22|24.6|27|26|30|32|10|24.5|27|0|0|0|0|0|0||||1.54|1.56|1.59||||1.65|1.67|1.69|2.67|0.42|2.33|4.23|0.06|0.09|0.12||||11|21.4|26.4|3.1|10.9|14.3|19|28|34|0.5|1.6|1.9|20|34|36|6|17|19|0|7|10|".24"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|5.1|12.3|13.6||||2.8|10.6|13.3|5.1|5.8|6.5||||||||||1.6|5.1|7.4|||||||||||||||||||||"25727837"|"76732214"
